ID,Education
0,12th Pass
1,Post Graduate
2,Graduate
3,Post Graduate
4,Post Graduate
5,12th Pass
6,Graduate
7,Post Graduate
8,Graduate
9,Post Graduate
10,10th Pass
11,10th Pass
12,Graduate
13,Post Graduate
14,Graduate Professional
15,8th Pass
16,10th Pass
17,Graduate Professional
18,Post Graduate
19,12th Pass
20,12th Pass
21,Graduate
22,Graduate
23,Graduate
24,10th Pass
25,Post Graduate
26,Graduate Professional
27,Graduate Professional
28,Graduate
29,Graduate Professional
30,10th Pass
31,12th Pass
32,10th Pass
33,10th Pass
34,12th Pass
35,Post Graduate
36,Post Graduate
37,12th Pass
38,10th Pass
39,Graduate
40,Post Graduate
41,Graduate
42,Post Graduate
43,Post Graduate
44,Graduate Professional
45,12th Pass
46,10th Pass
47,Post Graduate
48,Post Graduate
49,Graduate
50,Graduate Professional
51,Graduate
52,Graduate Professional
53,12th Pass
54,Graduate Professional
55,Graduate
56,Graduate
57,10th Pass
58,Graduate Professional
59,10th Pass
60,Graduate
61,Post Graduate
62,12th Pass
63,10th Pass
64,Graduate
65,12th Pass
66,10th Pass
67,Graduate
68,Graduate
69,Graduate Professional
70,Graduate
71,Post Graduate
72,Post Graduate
73,12th Pass
74,Graduate
75,10th Pass
76,Graduate
77,Graduate
78,Graduate Professional
79,Graduate Professional
80,8th Pass
81,Post Graduate
82,Post Graduate
83,12th Pass
84,Graduate Professional
85,Graduate
86,12th Pass
87,8th Pass
88,8th Pass
89,8th Pass
90,Graduate
91,12th Pass
92,12th Pass
93,10th Pass
94,Graduate
95,12th Pass
96,Post Graduate
97,12th Pass
98,Post Graduate
99,Graduate
100,Post Graduate
101,Graduate
102,Post Graduate
103,12th Pass
104,Graduate
105,10th Pass
106,Post Graduate
107,10th Pass
108,Graduate
109,8th Pass
110,Post Graduate
111,12th Pass
112,Graduate
113,Post Graduate
114,10th Pass
115,Post Graduate
116,Graduate
117,10th Pass
118,Graduate
119,Graduate
120,Graduate
121,Graduate
122,Graduate Professional
123,Graduate
124,10th Pass
125,Graduate
126,Graduate
127,12th Pass
128,Post Graduate
129,12th Pass
130,Graduate
131,12th Pass
132,Graduate
133,Graduate
134,Graduate
135,Post Graduate
136,12th Pass
137,8th Pass
138,Graduate Professional
139,8th Pass
140,10th Pass
141,12th Pass
142,Graduate
143,Post Graduate
144,Graduate
145,12th Pass
146,8th Pass
147,Graduate
148,8th Pass
149,12th Pass
150,Graduate
151,12th Pass
152,Graduate
153,Graduate
154,Graduate Professional
155,Post Graduate
156,12th Pass
157,Graduate
158,Graduate
159,Post Graduate
160,Graduate Professional
161,Post Graduate
162,12th Pass
163,Graduate
164,8th Pass
165,8th Pass
166,Graduate
167,Graduate
168,Graduate Professional
169,Graduate
170,Graduate Professional
171,Post Graduate
172,Post Graduate
173,Graduate
174,Graduate Professional
175,Post Graduate
176,Graduate
177,10th Pass
178,Post Graduate
179,Post Graduate
180,Post Graduate
181,Post Graduate
182,Graduate
183,12th Pass
184,Graduate
185,Graduate Professional
186,10th Pass
187,10th Pass
188,12th Pass
189,Graduate
190,Post Graduate
191,Graduate
192,10th Pass
193,Post Graduate
194,Graduate Professional
195,Post Graduate
196,Graduate Professional
197,Graduate
198,Graduate
199,10th Pass
200,Graduate
201,Post Graduate
202,Graduate
203,Post Graduate
204,Graduate
205,10th Pass
206,Graduate
207,Post Graduate
208,Post Graduate
209,Graduate
210,Graduate
211,Graduate
212,Graduate
213,Graduate
214,8th Pass
215,Graduate Professional
216,8th Pass
217,Post Graduate
218,Post Graduate
219,Graduate
220,12th Pass
221,Graduate
222,12th Pass
223,Post Graduate
224,Graduate Professional
225,Graduate
226,Post Graduate
227,Post Graduate
228,Graduate
229,Graduate
230,Graduate
231,Graduate
232,12th Pass
233,12th Pass
234,10th Pass
235,Graduate
236,Post Graduate
237,Graduate
238,12th Pass
239,Graduate
240,Post Graduate
241,Post Graduate
242,Post Graduate
243,Graduate
244,Graduate Professional
245,Graduate
246,Graduate Professional
247,Post Graduate
248,Graduate
249,Post Graduate
250,Post Graduate
251,Post Graduate
252,Graduate
253,Graduate
254,Graduate
