ID,Education
0,10th Pass
1,Post Graduate
2,10th Pass
3,Post Graduate
4,8th Pass
5,12th Pass
6,Literate
7,Doctorate
8,Graduate
9,Graduate Professional
10,Literate
11,10th Pass
12,8th Pass
13,Graduate Professional
14,8th Pass
15,8th Pass
16,Others
17,12th Pass
18,12th Pass
19,5th Pass
20,12th Pass
21,Literate
22,Graduate
23,10th Pass
24,8th Pass
25,Post Graduate
26,Graduate
27,10th Pass
28,Literate
29,Others
30,Literate
31,5th Pass
32,8th Pass
33,Graduate
34,Others
35,8th Pass
36,Others
37,5th Pass
38,8th Pass
39,Post Graduate
40,Others
41,Graduate
42,Literate
43,Literate
44,Graduate Professional
45,Literate
46,Literate
47,Post Graduate
48,Others
49,Others
50,Graduate Professional
51,Post Graduate
52,Doctorate
53,12th Pass
54,Others
55,Literate
56,12th Pass
57,10th Pass
58,Graduate
59,10th Pass
60,Doctorate
61,Literate
62,12th Pass
63,10th Pass
64,Literate
65,5th Pass
66,Graduate Professional
67,Graduate Professional
68,Literate
69,Others
70,Literate
71,Graduate Professional
72,Graduate Professional
73,5th Pass
74,8th Pass
75,5th Pass
76,Graduate Professional
77,Graduate Professional
78,8th Pass
79,Others
80,8th Pass
81,Doctorate
82,Post Graduate
83,Graduate Professional
84,10th Pass
85,Literate
86,12th Pass
87,8th Pass
88,12th Pass
89,8th Pass
90,Doctorate
91,Graduate
92,12th Pass
93,10th Pass
94,Others
95,5th Pass
96,8th Pass
97,Post Graduate
98,Graduate
99,Graduate
100,Doctorate
101,Graduate Professional
102,8th Pass
103,Literate
104,Doctorate
105,Literate
106,Graduate Professional
107,8th Pass
108,Graduate
109,10th Pass
110,Post Graduate
111,Others
112,Graduate Professional
113,5th Pass
114,Doctorate
115,Doctorate
116,Post Graduate
117,Literate
118,Graduate Professional
119,10th Pass
120,Doctorate
121,Graduate Professional
122,12th Pass
123,10th Pass
124,10th Pass
125,Literate
126,8th Pass
127,12th Pass
128,Others
129,Graduate
130,Graduate Professional
131,5th Pass
132,Graduate Professional
133,10th Pass
134,Others
135,Graduate Professional
136,Literate
137,Graduate
138,8th Pass
139,Post Graduate
140,10th Pass
141,12th Pass
142,Graduate
143,Post Graduate
144,Graduate Professional
145,Literate
146,8th Pass
147,12th Pass
148,8th Pass
149,8th Pass
150,Post Graduate
151,Graduate Professional
152,Post Graduate
153,Others
154,Graduate
155,Doctorate
156,5th Pass
157,5th Pass
158,Doctorate
159,Literate
160,Graduate Professional
161,Literate
162,Post Graduate
163,Graduate
164,8th Pass
165,8th Pass
166,Others
167,Doctorate
168,Graduate Professional
169,Others
170,8th Pass
171,Others
172,12th Pass
173,Literate
174,Doctorate
175,Post Graduate
176,Graduate
177,Doctorate
178,Graduate Professional
179,Literate
180,Doctorate
181,Post Graduate
182,Others
183,Graduate
184,Others
185,Graduate Professional
186,Graduate
187,10th Pass
188,Literate
189,Graduate Professional
190,Doctorate
191,12th Pass
192,Doctorate
193,Literate
194,Graduate Professional
195,Post Graduate
196,Graduate
197,8th Pass
198,8th Pass
199,Literate
200,Literate
201,Literate
202,Graduate
203,Doctorate
204,Others
205,Doctorate
206,Literate
207,12th Pass
208,Others
209,Graduate
210,Others
211,10th Pass
212,Graduate Professional
213,Literate
214,8th Pass
215,Graduate Professional
216,8th Pass
217,Post Graduate
218,10th Pass
219,5th Pass
220,12th Pass
221,Others
222,Graduate Professional
223,Graduate
224,8th Pass
225,Doctorate
226,Post Graduate
227,Graduate
228,Graduate Professional
229,Post Graduate
230,Literate
231,Graduate Professional
232,8th Pass
233,5th Pass
234,5th Pass
235,Others
236,Doctorate
237,Graduate Professional
238,Literate
239,Others
240,Doctorate
241,8th Pass
242,Graduate Professional
243,12th Pass
244,8th Pass
245,Post Graduate
246,Others
247,Doctorate
248,Post Graduate
249,Literate
250,Doctorate
251,Post Graduate
252,Doctorate
253,12th Pass
254,Graduate Professional
255,12th Pass
256,Graduate Professional
257,Literate
258,Doctorate
259,Graduate Professional
260,Graduate Professional
261,Doctorate
262,Graduate
263,Others
264,12th Pass
265,Post Graduate
266,Doctorate
267,Post Graduate
268,Graduate
269,Doctorate
270,10th Pass
271,Graduate Professional
272,Graduate Professional
273,Others
274,Doctorate
275,12th Pass
276,8th Pass
277,5th Pass
278,Post Graduate
279,Others
280,Others
281,Literate
282,12th Pass
283,5th Pass
284,Graduate Professional
285,Literate
286,Graduate Professional
287,8th Pass
288,Post Graduate
289,10th Pass
290,Graduate Professional
291,8th Pass
292,12th Pass
293,Literate
294,12th Pass
295,Others
296,8th Pass
297,Post Graduate
298,Graduate
299,Literate
300,Graduate Professional
301,12th Pass
302,Doctorate
303,Post Graduate
304,Graduate
305,Graduate Professional
306,10th Pass
307,Literate
308,10th Pass
309,Literate
310,12th Pass
311,8th Pass
312,Literate
313,Graduate
314,Literate
315,Graduate Professional
316,Graduate Professional
317,Literate
318,Graduate Professional
319,Post Graduate
320,Post Graduate
321,Graduate
322,Graduate Professional
323,Literate
324,Literate
325,Graduate Professional
326,Others
327,Literate
328,Post Graduate
329,Doctorate
330,Graduate Professional
331,Literate
332,Graduate Professional
333,8th Pass
334,Literate
335,Graduate
336,8th Pass
337,Graduate Professional
338,Graduate
339,Graduate
340,Graduate Professional
341,5th Pass
342,8th Pass
343,Doctorate
344,Others
345,Graduate
346,Others
347,Literate
348,8th Pass
349,Others
350,Graduate Professional
351,Post Graduate
352,Graduate Professional
353,Graduate Professional
354,Post Graduate
355,10th Pass
356,Graduate
357,Literate
358,8th Pass
359,10th Pass
360,Others
361,8th Pass
362,Doctorate
363,Graduate Professional
364,5th Pass
365,10th Pass
366,Literate
367,Doctorate
368,Post Graduate
369,Doctorate
370,10th Pass
371,5th Pass
372,Literate
373,8th Pass
374,Doctorate
375,Others
376,Graduate Professional
377,Literate
378,Graduate Professional
379,10th Pass
380,12th Pass
381,Literate
382,Others
383,Literate
384,10th Pass
385,Others
386,Literate
387,Literate
388,5th Pass
389,8th Pass
390,Graduate Professional
391,12th Pass
392,Others
393,Graduate Professional
394,Post Graduate
395,5th Pass
396,Graduate Professional
397,Graduate Professional
398,Others
399,Doctorate
400,10th Pass
401,8th Pass
402,Graduate Professional
403,Others
404,Graduate Professional
405,8th Pass
406,Doctorate
407,5th Pass
408,Doctorate
409,12th Pass
410,Literate
411,Graduate Professional
412,Post Graduate
413,Others
414,Graduate Professional
415,12th Pass
416,Doctorate
417,10th Pass
418,Graduate Professional
419,Post Graduate
420,Graduate Professional
421,Others
422,8th Pass
423,Literate
424,Graduate
425,5th Pass
426,Post Graduate
427,10th Pass
428,Graduate Professional
429,12th Pass
430,8th Pass
431,12th Pass
432,Graduate Professional
433,12th Pass
434,Graduate Professional
435,Post Graduate
436,Graduate Professional
437,Others
438,8th Pass
439,Others
440,Graduate
441,Others
442,8th Pass
443,12th Pass
444,8th Pass
445,Post Graduate
446,Others
447,Graduate Professional
448,Literate
449,Graduate Professional
450,10th Pass
451,Doctorate
452,5th Pass
453,Graduate
454,Literate
455,12th Pass
456,Graduate Professional
457,12th Pass
458,12th Pass
459,Literate
460,10th Pass
461,Doctorate
462,12th Pass
463,10th Pass
464,Doctorate
465,Doctorate
466,12th Pass
467,Others
468,Doctorate
469,Graduate
470,Literate
471,10th Pass
472,Graduate Professional
473,10th Pass
474,Literate
475,12th Pass
476,Post Graduate
477,12th Pass
478,10th Pass
479,10th Pass
480,Graduate
481,10th Pass
482,10th Pass
483,5th Pass
484,Graduate Professional
485,Graduate Professional
486,Others
487,Doctorate
488,Others
489,Graduate Professional
490,12th Pass
491,10th Pass
492,Graduate Professional
493,8th Pass
494,Graduate
495,12th Pass
496,5th Pass
497,Post Graduate
498,Doctorate
499,Post Graduate
500,10th Pass
501,10th Pass
502,Others
503,Doctorate
504,Doctorate
505,Graduate Professional
506,12th Pass
507,Post Graduate
508,Post Graduate
509,12th Pass
510,Doctorate
511,Doctorate
512,Graduate
513,Literate
514,Literate
515,10th Pass
516,5th Pass
517,10th Pass
518,Doctorate
519,12th Pass
520,Graduate Professional
521,Graduate Professional
522,5th Pass
523,12th Pass
524,12th Pass
525,12th Pass
526,12th Pass
527,Others
528,8th Pass
529,Graduate Professional
530,Post Graduate
531,Doctorate
532,Graduate Professional
533,Graduate Professional
534,8th Pass
535,Post Graduate
536,Others
537,Doctorate
538,Post Graduate
539,5th Pass
540,8th Pass
541,Post Graduate
542,Literate
543,10th Pass
544,Graduate Professional
545,8th Pass
546,Literate
547,Literate
548,Literate
549,10th Pass
550,Post Graduate
551,12th Pass
552,8th Pass
553,Graduate Professional
554,Post Graduate
555,Graduate
556,Literate
557,Doctorate
558,10th Pass
559,Others
560,10th Pass
561,8th Pass
562,Others
563,Doctorate
564,12th Pass
565,8th Pass
566,Literate
567,Doctorate
568,Graduate
569,10th Pass
570,Doctorate
571,Graduate Professional
572,Others
573,12th Pass
574,Post Graduate
575,8th Pass
576,12th Pass
577,5th Pass
578,Graduate Professional
579,5th Pass
580,10th Pass
581,Others
582,Others
583,Graduate
584,8th Pass
585,10th Pass
586,Post Graduate
587,8th Pass
588,Graduate
589,Doctorate
590,Graduate
591,8th Pass
592,12th Pass
593,12th Pass
594,10th Pass
595,Others
596,Graduate Professional
597,8th Pass
598,Graduate
599,Doctorate
600,Doctorate
601,Graduate Professional
602,12th Pass
603,5th Pass
604,5th Pass
605,8th Pass
606,Graduate
607,Doctorate
608,10th Pass
609,Graduate Professional
610,Post Graduate
611,12th Pass
612,8th Pass
613,Doctorate
614,Doctorate
615,8th Pass
616,Others
617,Literate
618,8th Pass
619,Post Graduate
620,8th Pass
621,Graduate Professional
622,Literate
623,Others
624,Doctorate
625,8th Pass
626,5th Pass
627,8th Pass
628,Graduate
629,Doctorate
630,Literate
631,10th Pass
632,Others
633,5th Pass
634,5th Pass
635,Others
636,Doctorate
637,Literate
638,12th Pass
639,8th Pass
640,Graduate
641,Others
642,Literate
643,Others
644,5th Pass
645,Others
646,10th Pass
647,Graduate
648,5th Pass
649,5th Pass
650,Graduate Professional
651,Literate
652,Doctorate
653,12th Pass
654,Graduate
655,Graduate
656,Literate
657,Graduate Professional
658,Literate
659,Graduate
660,8th Pass
661,Graduate Professional
662,Graduate
663,Graduate Professional
664,Post Graduate
665,12th Pass
666,Graduate Professional
667,12th Pass
668,Post Graduate
669,12th Pass
670,Graduate Professional
671,5th Pass
672,12th Pass
673,Literate
674,Others
675,10th Pass
676,Post Graduate
677,Graduate Professional
678,Others
679,Doctorate
680,Others
681,Graduate Professional
682,Literate
683,Graduate Professional
684,Post Graduate
685,12th Pass
686,10th Pass
687,8th Pass
688,Graduate
689,Graduate
690,Graduate Professional
691,Literate
692,Graduate Professional
693,Literate
694,5th Pass
695,Graduate
696,12th Pass
697,Doctorate
698,10th Pass
699,10th Pass
700,Post Graduate
701,Graduate
702,10th Pass
703,Literate
704,Graduate Professional
705,Literate
706,8th Pass
707,Graduate Professional
708,8th Pass
709,Graduate Professional
710,Graduate Professional
711,Graduate Professional
712,Others
713,10th Pass
714,Graduate
715,8th Pass
716,Post Graduate
717,Post Graduate
718,Graduate
719,12th Pass
720,12th Pass
721,8th Pass
722,Literate
723,Others
724,Doctorate
725,Graduate Professional
726,12th Pass
727,Doctorate
728,Doctorate
729,Literate
730,Literate
731,10th Pass
732,12th Pass
733,Literate
734,Graduate Professional
735,Literate
736,Literate
737,5th Pass
738,12th Pass
739,Post Graduate
740,Graduate
741,Doctorate
